par chr ind mid sexind
F 1 1 91998971 1F
F 1 1 161431057 1F
F 1 1 243005440.5 1F
M 1 1 17711007.5 1M
M 1 1 116808729.5 1M
M 1 1 178251286 1M
M 1 1 207833143.5 1M
M 1 1 233022738 1M
F 2 1 75247484 1F
F 2 1 103284433.5 1F
F 2 1 122895255 1F
M 2 1 119883481 1M
M 2 1 132586654 1M
M 2 1 204852603 1M
M 2 1 233674950 1M
M 3 1 114922387.5 1M
M 3 1 152113212 1M
M 3 1 189223700 1M
F 4 1 22297736 1F
F 4 1 95879940.5 1F
M 4 1 12104337.5 1M
M 4 1 111262741.5 1M
F 5 1 102926256.5 1F
M 5 1 3475319 1M
M 5 1 34863081 1M
M 5 1 169867949 1M
F 6 1 9694790.5 1F
M 6 1 112360487 1M
M 6 1 168272319 1M
M 7 1 20798690 1M
M 7 1 72830958.5 1M
M 7 1 97219168 1M
F 8 1 75314354.5 1F
M 8 1 24892833 1M
M 8 1 30211426.5 1M
M 8 1 72228458.5 1M
F 9 1 1849979.5 1F
F 9 1 74109091.5 1F
F 9 1 136910700.5 1F
M 9 1 89850134 1M
M 9 1 119195271 1M
M 9 1 136824388.5 1M
F 10 1 119200556 1F
M 10 1 27336783 1M
M 10 1 82398264 1M
F 11 1 6263348.5 1F
F 11 1 132175257.5 1F
M 11 1 18669619.5 1M
M 11 1 68843386 1M
F 12 1 63696551.5 1F
M 12 1 30209734 1M
M 12 1 71725536 1M
M 12 1 92740182.5 1M
M 12 1 115689010.5 1M
F 13 1 53361213.5 1F
F 13 1 103948291.5 1F
F 14 1 35477979.5 1F
F 15 1 77200357.5 1F
M 15 1 26606685 1M
M 15 1 53710114 1M
F 16 1 59710289.5 1F
M 16 1 13139317 1M
M 16 1 30629624.5 1M
M 16 1 64419088 1M
M 17 1 41389198.5 1M
M 18 1 31632091.5 1M
M 19 1 20152365 1M
M 19 1 48687855.5 1M
F 20 1 890850.5 1F
F 20 1 52333318.5 1F
M 20 1 13235022 1M
M 20 1 42276738 1M
M 20 1 59842800 1M
F 21 1 45657100.5 1F
M 21 1 14861550 1M
F 1 2 3395045.5 2F
F 1 2 90241997 2F
F 1 2 212481782 2F
M 1 2 117930681.5 2M
F 2 2 137682477 2F
F 2 2 240344276.5 2F
M 2 2 36182538.5 2M
M 2 2 111510216 2M
M 2 2 221615823 2M
F 3 2 146176433 2F
M 3 2 6116375 2M
M 3 2 62887752.5 2M
M 3 2 173186213.5 2M
F 4 2 81315326.5 2F
F 4 2 186809967.5 2F
M 4 2 21514873.5 2M
M 4 2 182553829.5 2M
F 5 2 9311079.5 2F
F 5 2 162058241 2F
M 5 2 161387964.5 2M
F 6 2 106615550.5 2F
M 6 2 132497627.5 2M
F 7 2 121215320 2F
M 7 2 45238465 2M
M 7 2 158773400 2M
F 9 2 15146347 2F
F 9 2 136481616.5 2F
M 9 2 19982093.5 2M
F 10 2 12967152 2F
F 10 2 60465758 2F
F 10 2 127374066 2F
M 10 2 26682740.5 2M
M 10 2 120656755.5 2M
F 11 2 134305371 2F
M 11 2 23777862 2M
M 11 2 79758502 2M
M 11 2 130394031.5 2M
M 12 2 105191394.5 2M
F 13 2 20467389 2F
M 13 2 94829868 2M
F 14 2 70421759.5 2F
F 15 2 22663615.5 2F
M 15 2 71735625.5 2M
M 16 2 72601496.5 2M
F 17 2 33730036.5 2F
F 17 2 76792098.5 2F
M 17 2 42298036.5 2M
M 17 2 73490144 2M
F 19 2 5353379.5 2F
F 19 2 62943488 2F
M 20 2 22536015.5 2M
F 21 2 42223196.5 2F
F 21 2 45870716 2F
F 22 2 18083890.5 2F
F 1 3 102099239 3F
M 1 3 18944614 3M
M 1 3 34769831.5 3M
M 1 3 82623528.5 3M
M 1 3 119946818.5 3M
M 1 3 165567252.5 3M
M 1 3 191946166.5 3M
M 1 3 228252608 3M
F 2 3 6496552.5 3F
F 2 3 65824057.5 3F
F 2 3 228523229 3F
M 2 3 131067463 3M
M 2 3 206497135 3M
M 2 3 220542384.5 3M
M 3 3 112273245 3M
M 3 3 129176893.5 3M
M 3 3 158153412.5 3M
F 4 3 25649287 3F
F 4 3 123025782.5 3F
F 4 3 186031646 3F
M 4 3 38656678.5 3M
F 5 3 14628404 3F
F 5 3 133045689 3F
F 5 3 178874470.5 3F
M 5 3 134754868 3M
F 6 3 170318839 3F
M 6 3 41575337 3M
M 6 3 124755187.5 3M
F 7 3 26396564.5 3F
M 7 3 139487026 3M
F 8 3 7571954 3F
F 8 3 124951259 3F
M 8 3 104197030 3M
M 8 3 141562056 3M
M 9 3 13477473.5 3M
M 9 3 77177353.5 3M
M 9 3 96847812 3M
M 9 3 125189922 3M
F 10 3 5108276.5 3F
F 10 3 134834624.5 3F
M 10 3 24715779.5 3M
M 10 3 123908590.5 3M
M 11 3 12019113.5 3M
M 11 3 22002065.5 3M
M 11 3 124046324 3M
F 12 3 10547297 3F
F 12 3 128058912 3F
F 12 3 130748759 3F
M 12 3 7054671 3M
M 12 3 37954786 3M
M 12 3 49988471 3M
M 12 3 67870324.5 3M
M 12 3 113552191.5 3M
F 13 3 99313393.5 3F
M 13 3 39798297 3M
M 13 3 94915369.5 3M
M 14 3 51375214 3M
M 14 3 94390708 3M
F 15 3 98492244 3F
M 15 3 90477200.5 3M
M 16 3 10830781 3M
M 17 3 5898162 3M
M 17 3 25310274.5 3M
M 17 3 50321599 3M
F 18 3 47272448 3F
M 18 3 10122897.5 3M
M 18 3 37610603.5 3M
M 18 3 59080359.5 3M
M 18 3 66336455 3M
F 20 3 62326597 3F
F 21 3 44894191 3F
M 21 3 25016912.5 3M
M 21 3 38547704 3M
M 22 3 31004608 3M
F 1 4 70741788 4F
F 1 4 207882852 4F
M 1 4 77604920.5 4M
M 1 4 162999428 4M
M 1 4 231645487.5 4M
M 1 4 234758065.5 4M
M 2 4 33582069 4M
M 2 4 113085198 4M
M 2 4 162818936.5 4M
M 2 4 223127041 4M
F 3 4 1123933.5 4F
F 3 4 2875721 4F
F 3 4 4758399 4F
F 3 4 62930289 4F
F 3 4 134697901 4F
M 3 4 14289023.5 4M
M 3 4 30534064 4M
M 3 4 72709644.5 4M
M 3 4 144499522.5 4M
F 4 4 2236264 4F
F 4 4 5970214.5 4F
F 4 4 65605009 4F
F 4 4 151092802.5 4F
F 4 4 173066375 4F
